country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category
France,Punaauia,22,Good,0,Good,22,Good,0,Good,6,Good
France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate
France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good
France,Aix En Provence,55,Moderate,1,Good,26,Good,3,Good,55,Moderate
France,Armentieres,34,Good,0,Good,28,Good,2,Good,34,Good
France,Chalon Sur Saone,32,Good,1,Good,32,Good,1,Good,20,Good
France,Beaune,39,Good,1,Good,26,Good,1,Good,39,Good
France,Paita,27,Good,0,Good,27,Good,0,Good,10,Good
France,Saint Cyr Sur Loire,37,Good,1,Good,25,Good,2,Good,37,Good
France,Saint Quentin,39,Good,1,Good,25,Good,2,Good,39,Good
France,Riom,40,Good,1,Good,30,Good,1,Good,40,Good
France,Rodez,42,Good,1,Good,31,Good,1,Good,42,Good
France,Romans Sur Isere,37,Good,1,Good,30,Good,1,Good,37,Good
France,Guipavas,34,Good,1,Good,26,Good,9,Good,34,Good
France,Fosses,29,Good,0,Good,28,Good,2,Good,29,Good
France,Le Port,42,Good,1,Good,28,Good,0,Good,42,Good
France,Libourne,46,Good,1,Good,26,Good,2,Good,46,Good
France,Malakoff,40,Good,1,Good,26,Good,3,Good,40,Good
France,Halluin,35,Good,0,Good,28,Good,2,Good,35,Good
France,La Crau,60,Moderate,1,Good,30,Good,6,Good,60,Moderate
France,Marseille,59,Moderate,1,Good,37,Good,6,Good,59,Moderate
France,Montauban,32,Good,1,Good,32,Good,2,Good,32,Good
France,Montigny Le Bretonneux,62,Moderate,1,Good,17,Good,7,Good,62,Moderate
France,Lannion,41,Good,1,Good,26,Good,4,Good,41,Good
France,Le Blanc Mesnil,60,Moderate,1,Good,20,Good,6,Good,60,Moderate
France,Le Tampon,62,Moderate,1,Good,26,Good,1,Good,62,Moderate
France,Joigny,31,Good,1,Good,31,Good,1,Good,21,Good
France,Jeumont,51,Moderate,1,Good,22,Good,5,Good,51,Moderate
France,Le Lamentin,85,Moderate,0,Good,25,Good,0,Good,85,Moderate
France,La Baule Escoublac,33,Good,0,Good,33,Good,0,Good,21,Good
France,La Madeleine,38,Good,1,Good,23,Good,3,Good,38,Good
France,Fameck,28,Good,1,Good,27,Good,2,Good,28,Good
France,Fontenay Le Fleury,46,Good,1,Good,19,Good,4,Good,46,Good
France,Goussainville,51,Moderate,1,Good,21,Good,5,Good,51,Moderate
France,Grasse,72,Moderate,1,Good,34,Good,3,Good,72,Moderate
France,Fougeres,29,Good,0,Good,29,Good,1,Good,17,Good
France,Moissy Cramayel,46,Good,1,Good,23,Good,4,Good,46,Good
France,Montgeron,50,Good,1,Good,22,Good,5,Good,50,Good
France,Montigny Les Cormeilles,50,Good,1,Good,19,Good,5,Good,50,Good
France,Nimes,39,Good,1,Good,37,Good,0,Good,39,Good
France,Niort,32,Good,0,Good,32,Good,1,Good,18,Good
France,Orleans,71,Moderate,1,Good,24,Good,4,Good,71,Moderate
France,Pertuis,151,Unhealthy,1,Good,31,Good,5,Good,151,Unhealthy
France,Epernay,53,Moderate,1,Good,23,Good,3,Good,53,Moderate
France,Lattes,48,Good,1,Good,48,Good,0,Good,29,Good
France,Laxou,75,Moderate,1,Good,54,Moderate,0,Good,75,Moderate
France,Le Petit Quevilly,57,Moderate,1,Good,44,Good,0,Good,57,Moderate
France,Levallois Perret,70,Moderate,1,Good,44,Good,1,Good,70,Moderate
France,Limeil Brevannes,73,Moderate,1,Good,45,Good,1,Good,73,Moderate
France,Longuenesse,35,Good,1,Good,35,Good,0,Good,31,Good
France,Ronchin,47,Good,1,Good,25,Good,5,Good,47,Good
France,Roncq,44,Good,1,Good,27,Good,5,Good,44,Good
France,Saint Andre Lez Lille,46,Good,1,Good,29,Good,4,Good,46,Good
France,Saint Claude,109,Unhealthy for Sensitive Groups,1,Good,25,Good,0,Good,109,Unhealthy for Sensitive Groups
France,Saint Paul Les Dax,41,Good,1,Good,41,Good,1,Good,17,Good
France,Saint Priest,109,Unhealthy for Sensitive Groups,2,Good,23,Good,5,Good,109,Unhealthy for Sensitive Groups
France,Sete,47,Good,1,Good,47,Good,0,Good,29,Good
